No	Simplified	Traditional	Pinyin	English
646	扇子	扇子	shànzi	Fan
647	商标	商標	shāngbiāo	trademark
648	上级	上級	shàngjí	Superior
649	上下	上下	shàng xià	up and down; top and bottom; high and low; old and young
650	上涨	上漲	shàng zhǎng	rise; go up
651	稍	稍	shāo	a little; a bit; trifle; somewhat
652	稍微	稍微	shāowēi	slightly
653	蛇	蛇	shé	snake
654	舍不得	捨不得	shěbude	Hate to part with or use
655	舍得	捨得	shě de	be willing to part with; not begrudge
656	设想	設想	shèxiǎng	imagine， conceive
657	社	社	shè	society; organized body
658	社区	社區	shèqū	Community
659	射	射	shè	shoot; fire; discharge in a jet; send out
660	射击	射擊	shèjī	Shooting
661	摄像	攝像	shè xiàng	camera; camera shooting
662	摄像机	攝像機	shè xiàng jī	video camera
663	摄影	攝影	shèyǐng	Photography
664	摄影师	攝影師	shè yǐng shī	photographer; cameraman
665	伸	伸	shēn	stretch
666	深处	深處	shēn chù	deep; depths; recess; profundity
667	深度	深度	shēn dù	depth; deepness
668	神	神	shén	god; deity; divinity; spirit; expression; look; supernatural; magical
669	神经	神經	shénjīng	nerve
670	神奇	神奇	shénqí	Magical
671	神情	神情	shén qíng	expression; look
672	升高	升高	shēng gāo	hoist; elevate; lift; escalate; exaltation
673	生成	生成	shēng chéng	generate; produce
674	声	聲	shēng	sound; voice; reputation; tone
675	胜负	勝負	shèngfù	victory and defeat
676	剩	剩	shèng	Left
677	剩下	剩下	shèng xià	be left over; remain
678	失误	失誤	shīwù	An error
679	师傅	師傅	shīfu	Master worker
680	诗歌	詩歌	shī gē	poem; poetry
681	十足	十足	shízú	100 percent
682	时常	時常	shícháng	often
683	时光	時光	shíguāng	time
684	时机	時機	shíjī	Opportunity
685	时事	時事	shíshì	current affairs
686	实惠	實惠	shíhuì	substantial
687	拾	拾	shí	pick up, collect
688	使得	使得	shǐ de	make; cause; usable; workable
689	示范	示範	shìfàn	lead the way; demonstrate
690	式	式	shì	type; style; pattern; form; ceremony; formula
691	势力	勢力	shìlì	Power
692	试图	試圖	shìtú	Try
693	视频	視頻	shìpín	video
694	视为	視為	shì wéi	treat; regard as
695	收购	收購	shōu gòu	purchase; acquisition; buy
696	收集	收集	shōu jí	gather; collect; collection
697	收拾	收拾	shōushi	Tidy
698	手段	手段	shǒu duàn	means; measure; trick; artifice
699	手法	手法	shǒufǎ	technique
700	寿司	壽司	shòu sī	sushi
701	受灾	受災	shòu zāi	disaster; the afflicted
702	瘦	瘦	shòu	thin
703	书法	書法	shūfǎ	Calligraphy
704	书柜	書櫃	shū guì	bookcase
705	书桌	書桌	shū zhuō	desk; writing desk
706	输出	輸出	shū chū	output; export; efference
707	蔬菜	蔬菜	shūcài	Vegetables
708	熟悉	熟悉	shúxī	be familiar with
709	鼠	鼠	shǔ	mouse; rat
710	鼠标	鼠標	shǔbiāo	mouse
711	数目	數目	shù mù	number; amount
712	摔	摔	shuāi	fall; break; throw; fling; lose one’s balance
713	摔倒	摔倒	shuāidǎo	fall
714	率领	率領	shuàilǐng	Lead
715	双手	雙手	shuāng shǒu	both hands; pair of hands
716	水产品	水產品	shuǐ chǎn pǐn	aquatic product
717	水分	水分	shuǐ fèn	moisture
718	水库	水庫	shuǐ kù	reservoir
719	水灾	水災	shuǐ zāi	flood; inundation
720	睡眠	睡眠	shuì mián	sleep; slumber
721	说法	説法	shuō fǎ	way of saying a thing; statement; version; wording
722	硕士	碩士	shuòshì	master
723	私人	私人	sīrén	private
724	思维	思維	sīwéi	thinking
725	四周	四周	sì zhōu	all around
726	搜	搜	sōu	search; search out
727	搜索	搜索	sōusuǒ	search
728	宿舍	宿舍	sùshè	dormitory
729	酸甜苦辣	酸甜苦辣	suān tián kǔ là	sour, sweet, bitter, hot ; ups and downs; joys and sorrows of life
730	随后	隨後	suí hòu	follow; soon afterwards
731	随意	隨意	suíyì	random; casual
732	随着	隨着	suízhe	along with
733	岁月	歲月	suìyuè	Years
734	碎	碎	suì	broken
735	损害	損害	sǔn hài	harm; damage; injure; hurt
736	损失	損失	sǔnshī	loss
737	所在	所在	suǒ zài	place; location; where
738	锁	鎖	suǒ	lock
739	台风	颱風	táifēng	Typhoon
740	抬	抬	tái	Lift
741	抬头	抬頭	tái tóu	look up; gain ground; raise one’s head
742	太空	太空	tàikōng	Space
743	弹	彈	tán	shoot; catapult; fluff; flick; flip; play; leap
744	逃	逃	táo	flee
745	逃跑	逃跑	táo pǎo	run away; flee; take flight; take to one’s heels
746	逃走	逃走	táo zǒu	escape; flee
747	桃	桃	táo	peach
748	桃花	桃花	táo huā	peach blossom
749	桃树	桃樹	táo shù	peach tree
750	讨厌	討厭	tǎoyàn	Hate
751	特定	特定	tèdìng	given
752	特性	特性	tè xìng	characteristic; property; feature; peculiarity; quality
753	特有	特有	tè yǒu	peculiar; characteristic
754	提倡	提倡	tíchàng	promote
755	提起	提起	tí qǐ	mention; speak of; raise; lift
756	提示	提示	tíshì	hint
757	题材	題材	tícái	theme
758	体积	體積	tǐjī	volume
759	体力	體力	tǐ lì	physical strength; physical power
760	天才	天才	tiāncái	genius
761	天然气	天然氣	tiānránqì	Natural gas
762	天文	天文	tiānwén	Astronomy
763	调节	調節	tiáojié	adjust
764	调解	調解	tiáojiě	mediate
765	厅	廳	tīng	office; hall
766	停留	停留	tíng liú	remain; stay
767	通用	通用	tōngyòng	currency
768	偷	偷	tōu	steal
769	偷偷	偷偷	tōu tōu	secretly; stealthily; covertly; on the sly
770	突破	突破	tūpò	Breach
771	土豆	土豆	tǔdòu	Potato
772	吐	吐	tǔ	spit, say
773	吐	吐	tù	vomit
774	兔	兔	tù	rabbit; hare
775	团长	團長	tuán zhǎng	regimental commander; head of a delegation
776	推行	推行	tuī xíng	practise; carry out; pursue
777	脱离	脱離	tuōlí	Be divorced from
778	外界	外界	wàijiè	outside
779	完了	完了	wán le	come to an end; be over; completion of a term
780	微博	微博	wēi bó	Weibo (a Chinese social media app)
781	为难	為難	wéinán	Embarrassed
782	为期	為期	wéiqī	by a definite date
783	为止	為止	wéi zhǐ	up to; till
784	为主	為主	wéi zhǔ	mainly; give priority
785	违法	違法	wéi fǎ	break the law; be illegal
786	违反	違反	wéifǎn	Violation
787	违规	違規	wéi guī	violation; get out of line
788	围绕	圍繞	wéirào	around
789	唯一	唯一	wéiyī	Only
790	委托	委託	wěituō	Entrust
791	卫星	衞星	wèixīng	satellite
792	胃	胃	wèi	stomach
793	慰问	慰問	wèiwèn	Condolences
794	温和	温和	wēnhé	mild
795	文艺	文藝	wényì	literature
796	卧室	卧室	wòshì	Bedroom
797	握	握	wò	hold; grasp; take by the hand
798	污染	污染	wūrǎn	contaminated
799	污水	污水	wū shuǐ	sewage; slops; foul water; polluted water
800	屋	屋	wū	house; room
801	无奈	無奈	wúnài	cannot help but
802	无疑	無疑	wú yí	undoubtedly; no doubt
803	舞	舞	wǔ	dance; dancing; flourish; wield
804	物价	物價	wù jià	(commodity) prices
805	物业	物業	wùyè	property
806	物质	物質	wùzhì	material
807	误解	誤解	wùjiě	misunderstand
808	西红柿	西紅柿	xīhóngshì	Tomato
809	西装	西裝	xī zhuāng	suit; Western-style clothes
810	喜剧	喜劇	xǐ jù	comedy
811	戏	戲	xì	play; sport; joke; make fun of; drama; play
812	戏剧	戲劇	xìjù	Theatre
813	吓	嚇	xià	scare
814	先后	先後	xiān hòu	successively; one after another
815	先前	先前	xiānqián	previously
816	鲜艳	鮮豔	xiānyàn	Colorful
817	闲	閒	xián	not busy; idle; unoccupied; leisure; stay idle
818	显	顯	xiǎn	show; appear;  obvious; noticeable; illustrious
819	现有	現有	xiàn yǒu	existing; now available; existence
820	现状	現狀	xiànzhuàng	Present situation
821	线索	線索	xiànsuǒ	Clue
822	献	獻	xiàn	offer; present; dedicate; donate;  show; put on; display
823	乡	鄉	xiāng	country; countryside; village; rural area; home village
824	乡村	鄉村	xiāng cūn	country; village; countryside; rural area; rural
825	相等	相等	xiāngděng	Equal
826	相应	相應	xiāngyìng	Corresponding
827	香肠	香腸	xiāngcháng	sausage
828	详细	詳細	xiángxì	detailed
829	享受	享受	xiǎngshòu	enjoy
830	向导	嚮導	xiàngdǎo	Guide
831	向前	向前	xiàng qián	forward; onward; ahead
832	向上	向上	xiàng shàng	upward; up
833	相声	相聲	xiàngsheng	crosstalk
834	象征	象徵	xiàngzhēng	Symbolize
835	消除	消除	xiāochú	eliminate
836	消毒	消毒	xiāodú	Disinfection
837	消防	消防	xiāofáng	Fire control
838	消费者	消費者	xiāo fèi zhě	consumer; customer
839	消极	消極	xiāojí	negative
840	小偷儿	小偷兒	xiǎo tōur	thief
841	歇	歇	xiē	Rest
842	协议	協議	xiéyì	Agreement
843	协议书	協議書	xié yì shū	agreement; protocol; written agreement
844	斜	斜	xié	oblique
845	心态	心態	xīntài	mentality
846	心疼	心疼	xīnténg	Distressed
847	辛苦	辛苦	xīnkǔ	hard
848	欣赏	欣賞	xīnshǎng	Appreciate
849	信念	信念	xìnniàn	belief
850	信箱	信箱	xìn xiāng	letter box; mailbox; post box
851	行驶	行駛	xíng shǐ	go; ply; travel
852	形态	形態	xíngtài	Form
853	性能	性能	xìngnéng	performance
854	雄伟	雄偉	xióngwěi	Magnificent
855	熊	熊	xióng	bear; rebuke; scold
856	休闲	休閒	xiūxián	Leisure time
857	修复	修復	xiūfù	repair
858	修建	修建	xiūjiàn	build
859	修养	修養	xiūyǎng	training, mastery
860	虚心	虛心	xūxīn	With an open mind; modest
861	许可	許可	xǔkě	Permit
862	选修	選修	xuǎn xiū	elective; take as an elective course
863	学科	學科	xué kē	branch of learning; subject; discipline
864	学位	學位	xuéwèi	Academic degree
865	学者	學者	xué zhě	scholar; learned man; man of learning
866	寻求	尋求	xún qiú	quest; seek; look for; explore
867	询问	詢問	xúnwèn	inquiry
868	押金	押金	yājīn	deposit
869	鸭子	鴨子	yā zi	duck
870	亚军	亞軍	yàjūn	Runner-up
871	延伸	延伸	yánshēn	extend
872	严厉	嚴厲	yánlì	severe
873	严肃	嚴肅	yánsù	serious
874	言语	言語	yán yǔ	speech; parole; verbal
875	研究所	研究所	yán jiū suǒ	research institute; graduate school
876	眼光	眼光	yǎnguāng	Eye
877	邀请	邀請	yāoqǐng	Invitation
878	摇头	搖頭	yáo tóu	shake one’s head
879	咬	咬	yǎo	bite
880	也好	也好	yě hǎo	may as well; no matter whether
881	业务	業務	yèwù	business
882	夜间	夜間	yè jiān	nighttime; at night
883	一流	一流	yīliú	First-class
884	依法	依法	yī fǎ	according to the law; legal
885	依旧	依舊	yījiù	still
886	依据	依據	yījù	Basis
887	依照	依照	yī zhào	according to; in the light of:
888	一辈子	一輩子	yíbèizi	A lifetime
889	一带	一帶	yí dài	area; surroundings; region; district
890	一旦	一旦	yídàn	once; in case
891	一句话	一句話	yí jù huà	in a word; in short; one sentence
892	一路	一路	yí lù	all the way; take the same route
893	一下儿（副）	一下兒（副）	yí xiàr	a little bit; a little while
894	一下子	一下子	yí xià zi	all of a sudden; all at once; for a while
895	一向	一向	yíxiàng	Always
896	乙	乙	yǐ	second; second heavenly stem
897	以便	以便	yǐbiàn	so that
898	以往	以往	yǐwǎng	Past
899	一口气	一口氣	yì kǒu qì	one breath; in one breath
900	一身	一身	yì shēn	the whole body; all over the body
901	意识	意識	yìshí	consciousness
902	意味着	意味着	yìwèizhe	Signify
903	意志	意志	yìzhì	will
904	因而	因而	yīn’ér	thus
905	饮料	飲料	yǐnliào	Drinks
906	饮食	飲食	yǐnshí	diet
907	印刷	印刷	yìnshuā	printing
908	应	應	yīng	answer; respond; agree; should; ought to
909	硬	硬	yìng	hard
910	硬件	硬件	yìngjiàn	Hardware
911	拥抱	擁抱	yōngbào	embrace
912	拥有	擁有	yōngyǒu	Have
913	用不着	用不着	yòng bù zháo	no need; have no use for
914	用户	用户	yònghù	user
915	用来	用來	yòng lái	be used for; used to
916	用于	用於	yòng yú	use for; used in; use on
917	优惠	優惠	yōuhuì	preferential; favorable
918	优先	優先	yōuxiān	first
919	幽默	幽默	yōumò	Humor
920	尤其	尤其	yóuqí	especially
921	由此	由此	yóu cǐ	from this; therefrom; thus
922	犹豫	猶豫	yóuyù	Hesitate
923	游泳池	游泳池	yóu yǒng chí	swimming pool
924	友谊	友誼	yǒuyì	friendship
925	有毒	有毒	yǒu dú	poisonous; venomous
926	有害	有害	yǒu hài	harmful; pernicious; detrimental
927	有力	有力	yǒu lì	strong; powerful; forceful; energetic; vigorous
928	有利于	有利於	yǒu lì yú	in favour of; make for; to the benefit of; avail
929	有着	有着	yǒu zhe	have; possess
930	羽毛球	羽毛球	yǔmáoqiú	Badminton
931	羽绒服	羽絨服	yǔróngfú	Down Jackets
932	雨水	雨水	yǔ shuǐ	rainwater; rainfall; rain
933	预备	預備	yù bèi	prepare; get ready; preparation
934	预期	預期	yùqī	expect; anticipate
935	元旦	元旦	uándàn	the New year’s Day
936	园林	園林	yuánlín	Gardens
937	原理	原理	yuánlǐ	principle
938	原始	原始	yuánshǐ	Original
939	原先	原先	yuánxiān	Original
940	原有	原有	yuán yǒu	original
941	远处	遠處	yuǎn chù	distance; far away
942	怨	怨	yuàn	blame ; complain; resentment; enmity
943	愿	願	yuàn	will; wish; desire; hope; willing
944	约束	約束	yuēshù	bind; restrain
945	月饼	月餅	yuè bǐng	moon cake
946	月球	月球	yuè qiú	Moon
947	阅览室	閲覽室	yuè lǎn shì	reading room
948	运	運	yùn	transport; luck; fortune; carry; move; wield
949	运行	運行	yùnxíng	run; working
950	灾	災	zāi	disaster; calamity; adversity; personal misfortune
951	灾害	災害	zāihài	disaster
952	灾难	災難	zāinàn	disaster
953	灾区	災區	zāi qū	disaster area
954	再次	再次	zài cì	once more; once again; one more time
955	再也	再也	zài yě	never; anymore; no longer
956	在场	在場	zài chǎng	be on the scene; be on the spot
957	在内	在內	zài nèi	including; inside; internally
958	暂时	暫時	zànshí	temporary
959	暂停	暫停	zàn tíng	pause; suspend; time out
960	糟	糟	zāo	dregs; waste; spoil; bad; in a mess
961	糟糕	糟糕	zāogāo	terrible
962	早期	早期	zǎo qī	early phase; early stage
963	增	增	zēng	increase; gain; add; expand
964	增产	增產	zēng chǎn	increase production
965	增大	增大	zēng dà	enlargement; magnify; increase
966	增多	增多	zēng duō	increase; grow in number
967	增强	增強	zēng qiáng	strengthen; enhance; heighten
968	赠	贈	zèng	give as a present; present as a gift
969	赠送	贈送	zèngsòng	Give
970	摘	摘	zhāi	pick
971	展览	展覽	zhǎnlǎn	exhibition
972	展示	展示	zhǎnshì	Exhibit
973	展现	展現	zhǎnxiàn	To show
974	占领	佔領	zhànlǐng	occupy
975	占有	佔有	zhàn yǒu	own; possess; have; occupy; hold; having
976	涨	漲	zhǎng	rise
977	涨价	漲價	zhǎng jià	rise in price; inflation of prices; mark up
978	掌握	掌握	zhǎngwò	master
979	招生	招生	zhāo shēng	enroll new students; recruit students
980	招手	招手	zhāo shǒu	beckon; wave; beck
981	珍贵	珍貴	zhēnguì	precious
982	珍惜	珍惜	zhēnxī	cherish
983	珍珠	珍珠	zhēnzhū	Pearl
984	真诚	真誠	zhēn chéng	sincere; genuine; true; genuineness
985	真理	真理	zhēnlǐ	Truth
986	真相	真相	zhēnxiàng	fact; truth
987	诊断	診斷	zhěnduàn	Diagnosis
988	振动	振動	zhèndòng	Vibration
989	震惊	震驚	zhènjīng	shock
990	争议	爭議	zhēngyì	dispute
991	正版	正版	zhèng bǎn	genuine; legal copy
992	正规	正規	zhèngguī	regular
993	正如	正如	zhèng rú	just as; exactly as
994	正义	正義	zhèngyì	justice
995	证实	證實	zhèngshí	Confirm
996	证书	證書	zhèngshū	certificate
997	挣	掙	zhèng	earn, make
998	挣钱	掙錢	zhèng qián	make money; earn money
999	之内	之內	zhī nèi	in; within
1000	之外	之外	zhī wài	outside; except
1001	之下	之下	zhī xià	under
1002	之中	之中	zhī zhōng	in; in the midst of; among
1003	支出	支出	zhīchū	payout; expend
1004	支配	支配	zhīpèi	Control
1005	执行	執行	zhíxíng	implement
1006	直线	直線	zhí xiàn	straight line
1007	值班	值班	zhíbān	Be on duty
1008	职能	職能	zhínéng	function
1009	职位	職位	zhíwèi	position
1010	职务	職務	zhíwù	post
1011	只不过	只不過	zhǐ bú guò	only; just; merely
1012	只见	只見	zhǐ jiàn	only see; see
1013	指标	指標	zhǐbiāo	index
1014	指甲	指甲	zhǐjia	nail
1015	指示	指示	zhǐshì	Instructions
1016	指责	指責	zhǐzé	Accuse
1017	至	至	zhì	to; till; until; extremely
1018	制成	製成	zhì chéng	make into; be made from
1019	制约	制約	zhìyuē	restrict
1020	治安	治安	zhì’ān	public security
1021	治理	治理	zhìlǐ	Government
1022	中断	中斷	zhōngduàn	interrupt
1023	中秋节	中秋節	zhōng qiū jié	Mid-Autumn Festival
1024	中央	中央	zhōngyāng	center
1025	中药	中藥	zhōng yào	traditional Chinese medicine
1026	终点	終點	zhōngdiǎn	End
1027	终身	終身	zhōngshēn	lifelong
1028	终止	終止	zhōngzhǐ	termination
1029	中毒	中毒	zhòng dú	poisoning; be poisoned
1030	众多	眾多	zhòng duō	multitudinous; numerous; many
1031	周期	週期	zhōuqī	period cycle
1032	竹子	竹子	zhúzi	Bamboo
1033	主办	主辦	zhǔbàn	Host
1034	主导	主導	zhǔdǎo	leading
1035	主观	主觀	zhǔguān	subjective
1036	主管	主管	zhǔguǎn	Executive director
1037	主体	主體	zhǔ tǐ	main body; main part; principal part; subject
1038	助理	助理	zhùlǐ	assistant
1039	助手	助手	zhùshǒu	assistant
1040	注册	註冊	zhùcè	register
1041	注射	注射	zhùshè	injection
1042	注视	注視	zhùshì	Gaze
1043	注重	注重	zhùzhòng	pay attention to
1044	祝贺	祝賀	zhùhè	Congratulate
1045	专辑	專輯	zhuān jí	album
1046	专利	專利	zhuānlì	patent
1047	转化	轉化	zhuǎn huà	change; transform
1048	转换	轉換	zhuǎn huàn	conversion; change; transform; convert
1049	转让	轉讓	zhuǎnràng	make over; transfer
1050	转向	轉向	zhuǎn xiàng	turn to; sheer off; change direction
1051	装饰	裝飾	zhuāngshì	decorate
1052	撞	撞	zhuàng	Hit
1053	资本	資本	zīběn	capital
1054	资产	資產	zīchǎn	capital; asset
1055	资助	資助	zīzhù	give financial aid
1056	子弹	子彈	zǐdàn	Bullet
1057	仔细	仔細	zǐxì	careful
1058	紫	紫	zǐ	purple
1059	自豪	自豪	zìháo	Proud
1060	自杀	自殺	zì shā	suicide; commit suicide
1061	自愿	自願	zìyuàn	voluntarily
1062	总裁	總裁	zǒngcái	CEO
1063	总数	總數	zǒng shù	tote; sum; totality
1064	总算	總算	zǒngsuàn	finally
1065	总体	總體	zǒng tǐ	overall; total; entire; totality
1066	阻碍	阻礙	zǔ’ài	hinder
1067	组织	組織	zǔzhī	organization
1068	醉	醉	zuì	drunk
1069	尊敬	尊敬	zūnjìng	respect
1070	尊重	尊重	zūnzhòng	respect
1071	遵守	遵守	zūnshǒu	comply with
