No	Simplified	Traditional	Pinyin	English
675	帅哥	帥哥	shuài gē	handsome boy
676	率先	率先	shuài xiān	lead; take the lead
677	睡着	睡着	shuì zháo	sleep; fall asleep
678	顺序	順序	shùnxù	order
679	说不定	説不定	shuōbudìng	maybe
680	说服	説服	shuōfú	Persuade
681	思考	思考	sīkǎo	Reflection
682	似乎	似乎	sìhū	It seems that
683	松	松	sōng	pine; loose; slack; loosen; relax; slacken
684	松树	松樹	sōng shù	pine tree; pine
685	塑料	塑料	sù liào	plastic
686	塑料袋	塑料袋	sùliàodài	Plastic bag
687	酸	酸	suān	acid
688	酸奶	酸奶	suān nǎi	yogurt
689	随手	隨手	suíshǒu	Readily
690	孙女	孫女	sūn nǚ	granddaughter
691	孙子	孫子	sūnzi	Grandson
692	缩短	縮短	suōduǎn	Shorten
693	缩小	縮小	suō xiǎo	reduce; lessen; narrow; shrink; zoom out
694	台阶	台階	táijiē	Steps
695	台上	台上	tái shàng	on the stage
696	躺	躺	tǎng	lie
697	套餐	套餐	tào cān	set meal
698	特价	特價	tè jià	special offer; bargain price
699	特殊	特殊	tèshū	special
700	特征	特徵	tèzhēng	Features
701	提供	提供	tígōng	provide
702	提醒	提醒	tíxǐng	remind
703	体操	體操	tǐ cāo	gymnastics
704	体检	體檢	tǐ jiǎn	physical examination
705	体重	體重	tǐ zhòng	body weight
706	替	替	tì	replace; substitute; take the place of; for; on behalf of
707	替代	替代	tì dài	replace; substitute
708	天真	天真	tiānzhēn	naive
709	填	填	tián	fill; stuff; fill in; write
710	填空	填空	tiánkòng	Fill in the blanks
711	挑	挑	tiāo	choose; pick; select
712	挑选	挑選	tiāo xuǎn	pick; choose; select; pick out
713	调皮	調皮	tiáopí	naughty
714	挑	挑	tiǎo	lift up; raise; prick; incite
715	挑战	挑戰	tiǎozhàn	Dekaron
716	贴	貼	tiē	stick; paste; glue; nestle up to; keep close to
717	停下	停下	tíng xià	stop
718	挺（动）	挺（動）	tǐng	stand; hold out; endure; stick out
719	通知书	通知書	tōng zhī shū	notice
720	同情	同情	tóngqíng	Sympathy
721	童话	童話	tónghuà	fairy tale
722	童年	童年	tóng nián	childhood; babyhood
723	统计	統計	tǒngjì	Statistics
724	统一	統一	tǒngyī	Unified
725	痛快	痛快	tòngkuài	Happy, to one`s heart`s content
726	投	投	tóu	throw; fling; hurl; cast; drop; put in; send; go to
727	投入	投入	tóurù	put into
728	投诉	投訴	tóusù	complaint
729	投资	投資	tóuzī	Investment
730	透	透	tòu	penetrate; pass through; tell secretly; show; through
731	透明	透明	tòumíng	transparent
732	图案	圖案	tú’àn	pattern
733	途中	途中	tú zhōng	on the way to; en route
734	土地	土地	tǔdì	land
735	推迟	推遲	tuīchí	delay
736	推销	推銷	tuīxiāo	promote sales
737	脱	脱	tuō	take off
738	袜子	襪子	wàzi	Socks
739	外汇	外匯	wài huì	foreign exchange; foreign currency
740	外交官	外交官	wài jiāo guān	diplomat; diplomatist
741	外套	外套	wài tào	coat
742	弯	彎	wān	curved; bend; turn; crooked
743	晚点	晚點	wǎn diǎn	late; behind schedule
744	万一	萬一	wànyī	In case
745	王	王	wáng	king; monarch; head; chief
746	网络	網絡	wǎngluò	network
747	网址	網址	wǎng zhǐ	Internet site; website; URL
748	微笑	微笑	wēixiào	Smile
749	微信	微信	wēi xìn	WeChat (a Chinese social app)
750	围巾	圍巾	wéijīn	scarf
751	维持	維持	wéichí	maintain
752	维护	維護	wéihù	protect
753	维修	維修	wéixiū	Repair
754	尾巴	尾巴	wěiba	tail
755	未必	未必	wèibì	not necessarily
756	未来	未來	wèilái	Future
757	位于	位於	wèiyú	Be located
758	位置	位置	wèizhì	position
759	味儿	味兒	wèir	flavor; taste
760	喂（动）	喂（動）	wèi	feed
761	稳	穩	wěn	steady; stable; sure; certain
762	稳定	穩定	wěndìng	Stable
763	问候	問候	wènhòu	To greet
764	无	無	wú	nothing
765	无法	無法	wú fǎ	unable; incapable
766	无聊	無聊	wúliáo	Boring
767	无论	無論	wúlùn	no matter
768	无数	無數	wúshù	Countless
769	无所谓	無所謂	wúsuǒwèi	cannot be designated as
770	无限	無限	wú xiàn	infinite; limitless; unlimited
771	五颜六色	五顏六色	wǔ yán liù sè	colourful; multicolored
772	误会	誤會	wùhuì	Misunderstanding
773	西瓜	西瓜	xīguā	watermelon
774	吸	吸	xī	inhale; breathe; absorb; suck in
775	吸管	吸管	xī guǎn	straw
776	吸收	吸收	xīshōu	absorb
777	吸烟	吸煙	xī yān	smoke
778	吸引	吸引	xīyǐn	Attract
779	喜爱	喜愛	xǐ ài	like; love; be fond of
780	系列	系列	xìliè	series
781	系统	系統	xìtǒng	system
782	细	細	xì	thin; slender; delicate; careful; trifling
783	细节	細節	xìjié	details
784	细致	細緻	xìzhì	careful
785	下个月	下個月	xià gè yuè	next month
786	下降	下降	xià jiàng	decline; drop; decrease; fall; go down
787	下楼	下樓	xià lóu	go downstairs; come downstairs
788	下载	下載	xiàzài	download
789	夏季	夏季	xià jì	summer
790	鲜	鮮	xiān	fresh; bright; delicious; little; rare
791	鲜花	鮮花	xiān huā	fresh flower
792	鲜明	鮮明	xiānmíng	distinct
793	咸	鹹	xián	salty
794	显著	顯著	xiǎnzhù	remarkable
795	县	縣	xiàn	county
796	限制	限制	xiànzhì	limit
797	相处	相處	xiāngchǔ	Get along with
798	相反	相反	xiāngfǎn	Contrary
799	箱	箱	xiāng	chest; box; case; trunk
800	箱子	箱子	xiāng zi	chest; bin; box; case; trunk
801	想念	想念	xiǎngniàn	miss
802	想象	想象	xiǎngxiàng	imagine
803	项	項	xiàng	term
804	项目	項目	xiàngmù	project
805	相片	相片	xiàng piàn	photo; photograph
806	消化	消化	xiāohuà	Digestion
807	销售	銷售	xiāoshòu	Sale
808	小吃	小吃	xiǎochī	snack
809	小伙子	小夥子	xiǎohuǒzi	Young fellow
810	小型	小型	xiǎo xíng	small-size; small-scale
811	效率	效率	xiàolǜ	efficiency
812	些	些	xiē	some
813	心理	心理	xīnlǐ	Psychology
814	新郎	新郎	xīnláng	Groom
815	新娘	新娘	xīnniáng	Bride
816	新鲜	新鮮	xīnxiān	fresh
817	新型	新型	xīn xíng	new type; new kind
818	兴奋	興奮	xīngfèn	Excitement
819	形容	形容	xíngróng	describe
820	形势	形勢	xíngshì	situation
821	型	型	xíng	mould; model; type; pattern
822	型号	型號	xíng hào	model; type; pattern
823	醒	醒	xǐng	wake up
824	兴趣	興趣	xìng qù	interest
825	性质	性質	xìngzhì	Nature
826	兄弟	兄弟	xiōngdì	Brother
827	胸部	胸部	xiōng bù	chest; thorax; breast
828	修理	修理	xiūlǐ	repair
829	选择	選擇	xuǎnzé	Choice
830	学分	學分	xué fēn	credit; academic credit
831	学年	學年	xué nián	school year; academic year
832	学时	學時	xué shí	class hour; period
833	学术	學術	xuéshù	learning
834	学问	學問	xuéwen	knowledge
835	寻找	尋找	xúnzhǎo	Seek, look for
836	迅速	迅速	xùnsù	rapid
837	牙	牙	yá	tooth; ivory; tooth-like thing
838	牙刷	牙刷	yá shuā	toothbrush
839	亚运会	亞運會	yà yùn huì	Asian Games
840	呀	呀	ya	ah
841	延长	延長	yáncháng	extend
842	延期	延期	yánqī	Delay
843	延续	延續	yánxù	continue
844	严	嚴	yán	strict; tight; severe; stern
845	严格	嚴格	yángé	strict
846	严重	嚴重	yánzhòng	serious
847	研究	研究	yánjiū	research
848	研究生	研究生	yán jiū shēng	postgraduate; graduate student
849	研制	研製	yán zhì	prepare; manufacture; develop
850	盐	鹽	yán	salt
851	眼镜	眼鏡	yǎnjìng	glasses
852	眼泪	眼淚	yǎn lèi	tear; eyedrop
853	眼里	眼裏	yǎn lǐ	within one’s vision; in one’s eyes
854	演讲	演講	yǎnjiǎng	speech
855	阳台	陽台	yángtái	balcony
856	养成	養成	yǎngchéng	Cultivate
857	腰	腰	yāo	waist
858	摇	搖	yáo	shake
859	药物	藥物	yào wù	drug; medicine
860	要（连）	要（連）	yào	if
861	业余	業餘	yèyú	amateur
862	叶子	葉子	yèzi	Leaf
863	医疗	醫療	yī liáo	medical treatment
864	医学	醫學	yī xué	medical science; medicine
865	依靠	依靠	yīkào	rely on; depend on
866	依然	依然	yīrán	still
867	一律	一律	yílǜ	all and singular
868	一再	一再	yízài	repeatedly
869	一致	一致	yízhì	Agreement
870	移	移	yí	move; remove; shift; change; alter
871	移动	移動	yídòng	move
872	移民	移民	yímín	immigrant
873	遗产	遺產	yíchǎn	heritage
874	遗传	遺傳	yíchuán	inheritance
875	疑问	疑問	yíwèn	Doubt
876	以及	以及	yǐjí	as well as
877	以内	以內	yǐ nèi	within
878	一般来说	一般來説	yì bān lái shuō	generally speaking
879	义务	義務	yìwù	obligation
880	议论	議論	yìlùn	Discussion
881	引	引	yǐn	lead; guide; draw; stretch; lure; attract; cause
882	引导	引導	yǐndǎo	guide
883	引进	引進	yǐn jìn	introduce from elsewhere; bring in; recommend
884	引起	引起	yǐnqǐ	cause
885	应	應	yīng	should; ought to; answer; respond; promise
886	英勇	英勇	yīngyǒng	heroic
887	营业	營業	yíngyè	Do business
888	赢得	贏得	yíng dé	gain; win
889	影子	影子	yǐngzi	shadow
890	勇敢	勇敢	yǒnggǎn	Brave
891	勇气	勇氣	yǒngqì	courage
892	用途	用途	yòngtú	purpose
893	优良	優良	yōu liáng	fine; good; excellent
894	优美	優美	yōuměi	Graceful
895	优秀	優秀	yōuxiù	excellent
896	邮局	郵局	yóujú	Post Office
897	有劲儿	有勁兒	yǒu jìnr	strong; energetic
898	有趣	有趣	yǒuqù	interesting
899	有限	有限	yǒu xiàn	limited; finite
900	幼儿园	幼兒園	yòu’éryuán	Kindergarten
901	于是	於是	yúshì	Therefore
902	语法	語法	yǔfǎ	grammar
903	语音	語音	yǔ yīn	voice
904	玉	玉	yù	jade
905	玉米	玉米	yùmǐ	Corn
906	预测	預測	yù cè	forecast; prognosis
907	预订	預訂	yùdìng	book; subscribe for
908	遇	遇	yù	meet; encounter
909	遇到	遇到	yùdào	encounter
910	遇见	遇見	yù jiàn	meet; come across
911	原料	原料	yuánliào	raw material
912	原则	原則	yuánzé	Principle
913	圆	圓	yuán	circular
914	圆满	圓滿	yuánmǎn	Satisfactorily
915	约会	約會	yuēhuì	Date
916	月底	月底	yuè dǐ	the end of a month
917	阅读	閲讀	yuèdú	Read
918	运动会	運動會	yùn dòng huì	sports meeting
919	运动员	運動員	yùn dòng yuán	athlete; sportsman
920	运气	運氣	yùnqi	luck
921	运用	運用	yùnyòng	Application
922	再三	再三	zàisān	repeatedly
923	在乎	在乎	zàihu	care about
924	在于	在於	zàiyú	rest with
925	赞成	贊成	zànchéng	agree
926	赞赏	讚賞	zàn shǎng	praise; panegyrize; eulogize; admiration
927	赞助	贊助	zànzhù	Sponsor
928	造型	造型	zàoxíng	style; modeling
929	战斗	戰鬥	zhàndòu	Battle
930	战胜	戰勝	zhàn shèng	defeat; conquer
931	战士	戰士	zhàn shì	warrior; soldier; fighter
932	战争	戰爭	zhànzhēng	War
933	丈夫	丈夫	zhàngfu	husband
934	招呼	招呼	zhāo hu	call; hail; greet; glad-hand
935	着	着	zhe	in process of
936	着火	着火	zháohuǒ	on fire
937	着急	着急	zháojí	Worry
938	召开	召開	zhàokāi	convene
939	折	折	zhé	fracture
940	针	針	zhēn	needle; injection
941	针对	針對	zhēnduì	In the light of
942	阵	陣	zhèn	front
943	争论	爭論	zhēnglùn	debate
944	征服	征服	zhēngfú	Conquer
945	征求	徵求	zhēngqiú	seek, ask for
946	政府	政府	zhèngfǔ	government
947	政治	政治	zhèngzhì	Politics
948	之后	之後	zhī hòu	later; after; afterwards
949	之间	之間	zhī jiān	between; among
950	之前	之前	zhī qián	before; prior to
951	之一	之一	zhī yī	one of
952	支（动）	支（動）	zhī	put up; protrude; support; send away
953	植物	植物	zhíwù	Botany
954	指挥	指揮	zhǐhuī	command
955	制订	制訂	zhì dìng	formulate; work out; map out
956	质量	質量	zhìliàng	quality
957	治	治	zhì	rule; govern; manage; cure; treatment
958	治疗	治療	zhìliáo	Treatment
959	智力	智力	zhìlì	intelligence
960	智能	智能	zhìnéng	Intelligence
961	中介	中介	zhōngjiè	intermediary
962	种类	種類	zhǒnglèi	type
963	中奖	中獎	zhòng jiǎng	win a lottery
964	种	種	zhǒng	species
965	种植	種植	zhòngzhí	plant
966	重量	重量	zhòngliàng	weight
967	逐步	逐步	zhúbù	gradually
968	逐渐	逐漸	zhújiàn	gradually
969	主题	主題	zhǔtí	theme
970	主席	主席	zhǔxí	Chairman
971	祝福	祝福	zhùfú	blessing
972	著名	著名	zhùmíng	famous
973	著作	著作	zhùzuò	Work
974	抓紧	抓緊	zhuājǐn	Pay close attention to; grasp
975	专心	專心	zhuānxīn	Attentively
976	转动	轉動	zhuǎn dòng	turn; move; turn round
977	转告	轉告	zhuǎngào	Tell
978	转身	轉身	zhuǎn shēn	turn round; face about
979	转弯	轉彎	zhuǎn wān	make a turn; turn a corner
980	转移	轉移	zhuǎnyí	transfer
981	装修	裝修	zhuāngxiū	decorate house
982	装置	裝置	zhuāng zhì	device; equipment
983	追求	追求	zhuīqiú	Pursuit
984	准时	準時	zhǔnshí	on time
985	资料	資料	zīliào	data
986	资源	資源	zīyuán	Resources
987	自	自	zì	from; since; self; oneself
988	自信	自信	zìxìn	self-confidence
989	字母	字母	zìmǔ	Letter
990	综合	綜合	zōnghé	comprehensive
991	总共	總共	zǒnggòng	In total
992	总理	總理	zǒnglǐ	prime minister
993	总统	總統	zǒngtǒng	President
994	总之	總之	zǒngzhī	in short
995	阻止	阻止	zǔzhǐ	prevent
996	嘴巴	嘴巴	zuǐ ba	mouth
997	最初	最初	zuìchū	First
998	作出	作出	zuò chū	make (a decision, etc.)
999	作为	作為	zuòwéi	As
1000	做梦	做夢	zuò mèng	dream; daydream
