No	Simplified	Traditional	Pinyin	English
712	占	佔	zhàn	occupy
713	站（动）	站（動）	zhàn	stand; stop; halt
714	站住	站住	zhàn zhù	stop; halt
715	长	長	zhǎng	grow
716	长大	長大	zhǎng dà	grow up
717	找出	找出	zhǎo chū	find out
718	照顾	照顧	zhàogù	look after
719	照片	照片	zhàopiàn	Photo
720	照相	照相	zhào xiàng	take a picture; take a photograph
721	这么	這麼	zhè me	so; such; this way; like this
722	这时候｜这时	這時候｜這時	zhè shí hou ｜ zhè shí	at this moment; at this time
723	这样	這樣	zhè yàng	so; such; like this; this way
724	真正	真正	zhēnzhèng	real
725	正常	正常	zhèngcháng	normal
726	正好	正好	zhènghǎo	Just right
727	正确	正確	zhèngquè	Correct
728	正是	正是	zhèng shì	exactly
729	直接	直接	zhíjiē	direct
730	只	只	zhǐ	only; just; simply; merely
731	只能	只能	zhǐ néng	can only
732	只要	只要	zhǐyào	as long as
733	纸	紙	zhǐ	paper
734	中餐	中餐	zhōng cān	Chinese food
735	中级	中級	zhōng jí	intermediate; middle-level
736	中年	中年	zhōng nián	middle age; middle-aged
737	中小学	中小學	zhōng xiǎo xué	elementary and middle school
738	中心	中心	zhōngxīn	core
739	中医	中醫	zhōng yī	Chinese Medicine
740	重点	重點	zhòngdiǎn	A key
741	重视	重視	zhòngshì	attach importance to
742	周	周	zhōu	week
743	周末	週末	zhōumò	Weekend
744	周年	週年	zhōunián	anniversary
745	主人	主人	zhǔrén	master
746	主要	主要	zhǔyào	main
747	住房	住房	zhù fáng	housing; lodging
748	住院	住院	zhù yuàn	be in hospital; be hospitalized
749	装	裝	zhuāng	pretend
750	准确	準確	zhǔnquè	accuracy
751	自己	自己	zìjǐ	Own, self
752	自行车	自行車	zìxíngchē	Bicycle
753	自由	自由	zìyóu	free
754	字典	字典	zì diǎn	dictionary
755	走过	走過	zǒu guò	walk through; pass by
756	走进	走進	zǒu jìn	walk in
757	走开	走開	zǒu kāi	go away
758	租	租	zū	rent
759	组	組	zǔ	group
760	组成	組成	zǔchéng	Form
761	组长	組長	zǔ zhǎng	group leader
762	嘴	嘴	zuǐ	mouth
763	最近	最近	zuìjìn	Lately
764	作家	作家	zuòjiā	writer
765	作文	作文	zuòwén	composition
766	作业	作業	zuòyè	task, homework
767	作用	作用	zuòyòng	Effect
768	座	座	zuò	Seat
769	座位	座位	zuòwèi	seat
770	做到	做到	zuò dào	accomplish; achieve
771	做法	做法	zuò fǎ	practice; behavior; way of doing a thing
772	做饭	做飯	zuò fàn	cook
